form,freq
lind,1
wita,1
morþor,1
woruld,1
feorh,1
hlāford,1
hēafod,1
bēaghord,1
lēoht,1
stefn,1
sweord,1
burh,1
tungol,1
rinc,1
medu,1
trēow,1
folde,1
andġiet,1
æscplega,1
benn,1
cempa,1
dǣl,1
brim,1
āwiht,1
swefn,1
eorl,1
brytta,1
blǣd,1
wine,1
stōw,1
wudu,1
pæþ,1
cniht,1
ides,1
hlāf,1
ġebēorscipe,1
bisgu,1
bana,1
ġiefu,1
cwēn,1
ānfloga,1
ǣfen,1
lār,1
cāsere,1
heorot,1
fȳr,1
tīd,1
ċirċe,1
engel,1
duguþ,1
rand,1
gāst,1
hord,1
bill,1
mōna,1
ānhaga,1
drēor,1
lēoþ,1
sorg,1
dōm,1
here,1
nytt,1
bealu,1
sefa,1
symbel,1
duru,1
ġiedd,1
mearh,1
þrymm,1
fæder,1
mearc,1
lof,1
þēod,1
eallwealda,1
wolcen,1
wundor,1
fugel,1
lyft,1
wyrt,1
stān,1
ecg,1
nīþ,1
hild,1
hyġe,1
æþeling,1
bealusīþ,1
þēow,1
beorg,1
hyht,1
iermþ,1
bēam,1
andwlita,1
ġielp,1
lāf,1
rīċe,1
angel,1
sunu,1
wiht,1
guma,1
tūn,1
feax,1
strǣl,1
brycg,1
sunne,1
bēag,1
ellen,1
mǣġ,1
werod,1
rodor,1
middanġeard,1
siġe,1
sceatt,1
dryhten,1
hund,1
ātor,1
wyrm,1
lufu,1
hǣlend,1
bīgeng,1
fruma,1
brōga,1
īsen,1
æsc,1
ealdor,1
anginn,1
dæġ,1
ceaster,1
þeġn,1
ġewinn,1
eġe,1
prēost,1
ġeþēode,1
bāt,1
dēor,1
bēaggifu,1
mæġen,1
mere,1
beadurinc,1
ofermōd,1
trēow,1
beorn,1
æcer,1
mynster,1
bearm,1
pening,1
neorxnawang,1
æþelu,1
synn,1
ord,1
weard,1
sceadu,1
þēoden,1
sinc,1
holt,1
līċ,1
ūht,1
andsaca,1
ġemynd,1
twēo,1
spell,1
hæleþ,1
ferhþ,1
cyning,1
bǣl,1
ġedwild,1
hām,1
ġebed,1
friþ,1
sibb,1
bismer,1
mēce,1
mōdor,1
māþum,1
blōd,1
spēd,1
earfoþe,1
heofon,1
rūn,1
frætwa,1
brōþor,1
leax,1
bearn,1
bānhūs,1
wyrd,1
lēode,1
fēond,1
forst,1
gūþ,1
wīċ,1
æstel,1
bēot,1
mund,1
nǣdre,1
bæþ,1
ierre,1
benċ,1
fultum,1
bealdor,1
līċhama,1
wiga,1
æht,1
bēaggifa,1
miht,1
ġeoguþ,1
wæstm,1
wēn,1
bæcere,1
hwīl,1
wuldor,1
bēor,1
folm,1
tīr,1
hlǣw,1
wealdend,1
God,1
sweostor,1
secg,1
hūs,1
hearg,1
gār,1
rōd,1
næss,1
līf,1
þēaw,1
wynn,1
helm,1
mæġþ,1
ealdor,1
wīte,1
sacu,1
ent,1
mōd,1
ċicen,1
anda,1
scēat,1
sele,1
ċȳse,1
lagu,1
scealc,1
sīþ,1
mān,1
firen,1
rǣd,1
griþ,1
wæl,1
heaþurinc,1
hyse,1
ǣrġewinn,1
mann,1
beadu,1
wer,1
dēma,1
dǣd,1
ǣrende,1
bolster,1
lāc,1
wīf,1
bæc,1
bār,1
hlēo,1
wīġ,1
frēa,1
bearu,1
ġēar,1
frōfor,1
bōc,1
ġereord,1
āglǣca,1
fǣmne,1
metod,1
drēam,1
sāwol,1
bēacen,1
dēofol,1
hierde,1
bānloca,1
wræcca,1
ǣl,1
sǣ,1
āþ,1
ǣ,1
ēa,1
ār,1
ȳþ,1
