form,freq
a22,1
a1,1
aɪ22,1
aɪ20,1
aɪ20,1
an22,1
an22,1
aɻ20,1
aɻ12,1
aɻ12,1
aɻ12,1
aɻ12,1
aɻ01,1
ɑʊ20,1
ɕi22,1
ɕi22,1
ɕi22,1
ɕi20,1
ɕi20,1
ɕi01,1
ɕɪn22,1
ɕɪn22,1
ɕɪn22,1
ɕɪn22,1
ɕɪn22,1
ɕɪŋ22,1
ɕɪŋ22,1
ɕɪŋ20,1
ɕɪŋ20,1
ɕɪŋ12,1
ɕja20,1
ɕja20,1
ɕjɑŋ22,1
ɕjɑŋ22,1
ɕjɑŋ20,1
ɕjɑŋ20,1
ɕjɑŋ20,1
ɕjɑŋ01,1
ɕjɑŋ01,1
ɕjɑʊ22,1
ɕjɑʊ20,1
ɕjɑʊ20,1
ɕjɑʊ01,1
ɕjɑʊ01,1
ɕjɑʊ01,1
ɕjɛ22,1
ɕjɛ22,1
ɕjɛ20,1
ɕjɛ20,1
ɕjɛ20,1
ɕjɛ20,1
ɕjɛ20,1
ɕjɛ20,1
ɕjɛ20,1
ɕjɛ12,1
ɕjɛ12,1
ɕjɛ12,1
ɕjɛ12,1
ɕjɛ01,1
ɕjɛ01,1
ɕjɛn22,1
ɕjɛn22,1
ɕjɛn20,1
ɕjɛn20,1
ɕjɛn01,1
ɕjɛn01,1
ɕɥœ12,1
ɕɥœn01,1
ɕy22,1
ɕy22,1
ɕy20,1
ɕy01,1
ən22,1
ɤ20,1
ɤ20,1
ɤ12,1
fa22,1
fa01,1
fan20,1
fan12,1
fan01,1
fɑŋ22,1
fɑŋ20,1
fɑŋ12,1
fɑŋ12,1
feɪ22,1
feɪ22,1
feɪ22,1
feɪ20,1
fən22,1
fɤŋ22,1
fɤŋ22,1
fɔ12,1
fu22,1
fu22,1
fu20,1
fu20,1
fu20,1
fu20,1
fu12,1
fu12,1
fu12,1
i22,1
i22,1
i22,1
i20,1
i20,1
i20,1
i20,1
i20,1
i20,1
i20,1
i20,1
i12,1
i12,1
i01,1
i01,1
i01,1
i01,1
i01,1
ɪn22,1
ɪn22,1
ɪŋ22,1
ɪŋ20,1
ɪŋ12,1
ɪŋ12,1
ɪŋ01,1
ja22,1
ja20,1
jɑŋ12,1
jɑʊ22,1
jɑʊ22,1
jɑʊ20,1
jɑʊ20,1
jɑʊ20,1
jɛ20,1
jɛ12,1
jɛ01,1
jɛn20,1
jɛn12,1
jɛn12,1
jɛn01,1
jɛn01,1
jɛn01,1
joʊ20,1
joʊ12,1
joʊ12,1
joʊ01,1
joʊ01,1
joʊ01,1
jʊŋ20,1
jʊŋ01,1
kaɪ22,1
kaɪ01,1
kan22,1
kan01,1
kan01,1
kan01,1
kɑŋ22,1
kɑʊ22,1
kɑʊ20,1
kɑʊ01,1
keɪ01,1
kən22,1
kən22,1
kən22,1
kɤ22,1
kɤ22,1
kɤ20,1
kɤ12,1
kɤŋ20,1
kʰa22,1
kʰaɪ22,1
kʰaɪ01,1
kʰan20,1
kʰan20,1
kʰɑʊ20,1
kʰɑʊ01,1
kʰən01,1
kʰɤ22,1
kʰɤ20,1
kʰɤ20,1
kʰɤ01,1
