,9
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,1.0
arabic-sk3gram,1.0
arabic-xsk2gram,1.0
arabic-xsk3gram,0.9832402234636871
english-1gram,0.28077431597039
english-2gram,0.22604885761940427
english-3gram,0.5466552707801463
english-sk2gram,0.6
english-sk3gram,0.49767548872858125
english-xsk2gram,0.5682073068333001
english-xsk3gram,0.3815945534942328
french-1gram,0.3108690380461561
french-2gram,0.5566884333434584
french-3gram,0.3838037627404827
french-sk2gram,0.47356838669766393
french-sk3gram,0.3863854338655167
french-xsk2gram,0.4012361841325948
french-xsk3gram,0.2719659025301713
finnish-1gram,0.5248432768271226
finnish-2gram,0.5512857461374832
finnish-3gram,0.0
finnish-sk2gram,0.5223738770220427
finnish-sk3gram,0.5073545320335715
finnish-xsk2gram,0.5750308163167701
finnish-xsk3gram,0.521447226455494
german-1gram,0.0
german-2gram,0.42935225482346545
german-3gram,0.5508548894365154
german-sk2gram,0.2490932272435228
german-sk3gram,0.5901994277854028
german-xsk2gram,0.5649658716528349
german-xsk3gram,0.5
greek-1gram,1.0
greek-2gram,1.0
greek-3gram,1.0
greek-sk2gram,1.0
greek-sk3gram,0.8438770777073191
greek-xsk2gram,1.0
greek-xsk3gram,1.0
hebrew-1gram,1.0
hebrew-2gram,1.0
hebrew-3gram,1.0
hebrew-sk2gram,1.0
hebrew-sk3gram,1.0
hebrew-xsk2gram,1.0
hebrew-xsk3gram,1.0
icelandic-1gram,0.6091196341150735
icelandic-2gram,0.44869105629700723
icelandic-3gram,0.38387951549894667
icelandic-sk2gram,0.8053994956985543
icelandic-sk3gram,0.7481866007672243
icelandic-xsk2gram,0.6062199325066706
icelandic-xsk3gram,0.7453645342476505
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,0.9393859204900659
russian-sk3gram,0.99340429886818
russian-xsk2gram,0.9170260126319357
russian-xsk3gram,0.9307960772384729
spanish-1gram,0.5497395869049455
spanish-2gram,0.769642081419737
spanish-3gram,0.5356721582207257
spanish-sk2gram,0.5964766957754728
spanish-sk3gram,0.50742738116805
spanish-xsk2gram,0.7595917942265424
spanish-xsk3gram,1.0
swahili-1gram,0.3577141202716114
swahili-2gram,0.0
swahili-3gram,0.6271351009319511
swahili-sk2gram,0.5279680971951015
swahili-sk3gram,0.4337772136501965
swahili-xsk2gram,0.5846404167396216
swahili-xsk3gram,0.589255956708065
turkish-1gram,0.35582494545303567
turkish-2gram,0.8333333333333333
turkish-3gram,0.5570303587096107
turkish-sk2gram,0.547280268944292
turkish-sk3gram,0.8989794855663562
turkish-xsk2gram,0.4939015319191967
turkish-xsk3gram,0.5472802689442922
