,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,1.0,0.6666666666666666,0.6,1.0,0.75,1.0,0.8
french,1.0,0.4,0.75,0.875,0.8888888888888888,0.75,0.75
finnish,0.7777777777777778,1.0,0.8,0.8333333333333334,1.0,1.0,1.0
german,0.8,0.8888888888888888,0.875,0.8333333333333334,0.875,1.0,0.8333333333333334
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,1.0,0.8,0.75,0.8888888888888888,1.0,0.5,1.0
swahili,0.8333333333333334,1.0,0.75,0.8333333333333334,1.0,1.0,0.8333333333333334
turkish,1.0,1.0,0.5714285714285714,1.0,0.8888888888888888,1.0,0.8571428571428571
