,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,0.9648634806467024,1.0,1.0,0.8748311242685798
english,0.48395967087527486,0.38485486448096295,0.3371963733031069,0.3552574298016135,0.453522471015558,0.4836170905888332,0.44630862185080783
french,0.5773502691896257,0.3143473067309658,0.32901850323812315,0.3984470028096069,0.39879091627271074,0.4572900986627996,0.5118906968889915
finnish,0.5401353676090251,0.5116771430366229,0.5878815177444924,0.6475641134267754,0.5231087930578217,0.5455212304184528,0.5149753018608872
german,0.7841429810233865,0.379902141470384,0.37592228010132267,0.4653024295510498,0.7631428283688879,0.6080020808253449,0.6683250619582689
greek,1.0,1.0,1.0,0.9764176449042415,0.9717397646509239,0.98056091781096,0.9492134455612322
hebrew,1.0,1.0,1.0,1.0,0.952784845311176,0.9782191779821827,0.9356263386451691
icelandic,0.8398179077616891,0.4280223559189164,0.4561702859457544,0.8735804647362989,0.7209748357704592,0.6830826230040803,0.9349198761484702
russian,1.0,1.0,1.0,1.0,0.9944127082782657,0.9183535861959385,0.9291609232907131
spanish,0.5912856744102597,0.3671831159634836,0.39435974796212575,0.7825422900366437,0.5721248424548514,0.7458226707842034,0.7937005259840998
swahili,0.7402143449743067,0.4725274916852159,0.5486083887139642,0.5968136930467326,0.6133748537965211,0.6917323965066613,0.811008516155702
turkish,0.978482042633557,0.7510499815709779,0.3729015924012146,0.5573107383063208,0.7368062997280773,0.5432485891736645,0.5266403878479265
