,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,0.816496580927726,1.0
english,0.3154197963509391,0.3415650255319866,0.3588708172143258,0.3365516336449405,0.33446328547771903,0.31085126015841513,0.30540908822257473
french,0.34746321290898785,0.2968030515896068,0.35342463152075426,0.3502577555017914,0.3312248789826511,0.3161134433147457,0.3387987856049512
finnish,0.3940210103828815,0.34815487437620696,0.60245677267335,0.7423074889580903,0.7894736842105263,0.6831300510639733,0.4466974797002212
german,0.3553337032904529,0.34740002360442623,0.36102947102573096,0.38008796798398686,0.4510200118467506,0.5163977794943222,0.4116716243623783
greek,1.0,1.0,1.0,1.0,1.0,1.0,0.9809506363438459
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.5775942946969043,1.0,0.38810950565938623,1.0,0.5345890549993044,0.5590169943749475,1.0
russian,1.0,1.0,1.0,0.9922766436393275,0.8355908102584944,0.9403558232712466,0.8543480844150815
spanish,0.6030226891555273,0.2675938633751992,0.5504959249310237,0.4827446923028149,0.5773502691896257,0.5935032724215701,0.44645404801904476
swahili,0.49871130592026675,0.4190834494425311,0.4821426207866286,0.4122055612033518,0.34327772485625896,0.46589918468781055,0.5028734011180412
turkish,1.0,0.689202437604511,0.6014167670256413,0.39978428543542804,0.6047750060915854,0.42221957457541404,1.0
