,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,1.0,1.0,1.0,1.0,0.9275672569476731
english,0.33426443686635426,0.3611575592573076,0.44095855184409843,0.3867612446199285,0.29125991439135773,0.39788427553162475,0.4556810959723555
french,0.5396772430244133,0.4444444444444444,0.30429372102745517,0.48935845514610793,0.3644302567288248,0.3289638248237385,0.487293044979987
finnish,0.4374646529918358,0.4409585518440985,0.49772696206526773,0.5025508010495613,0.5610146695077598,0.6611370995137055,0.5223304712775402
german,0.508451953457214,0.3017361901553106,0.3218323816648453,0.41852390903787406,0.46415888336127786,0.7453559924999299,0.6151246852292456
greek,1.0,1.0,1.0,0.9941346444036263,0.9948183738991,1.0,0.9862961896590294
hebrew,1.0,1.0,1.0,1.0,0.9907792774838263,0.9515424426150021,1.0
icelandic,0.6321683784831464,0.43412681107162004,0.7688809598286291,1.0,1.0,0.6597539553864472,0.6933612743506347
russian,1.0,1.0,1.0,0.9774675402305525,0.8455845695671257,0.9258903164546254,0.8954237688029468
spanish,0.4581301635370896,0.3406637207527856,0.45704834224274066,0.5047172597219922,1.0,0.6256455914125556,0.8705505632961241
swahili,0.5291336839893998,0.42019935431608724,0.49007565737382386,0.590152714049753,0.6686245759238976,0.6356417261637283,0.8089888089497407
turkish,0.8542028622107832,0.4400558683966967,0.4680926207766303,0.48282519671896706,0.7434855737622396,0.6739562829023619,0.5984084805885754
