,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,0.8509004905384396,0.5841985514588167,0.34710786705802865,0.2946408125769056,0.29716496164912837,0.36542134159295836,0.3202234568604015
english,0.3466806371753174,0.2649582040461412,0.26046503628718704,0.2665758133500902,0.2517030886343809,0.28768479133239394,0.3216449613843978
french,0.3310501566558523,0.2713901434520954,0.298772024722976,0.2753200250859271,0.254966488500432,0.408248290463863,0.3042903097250923
finnish,0.40122348676176056,0.2787985164020001,0.3221970074886271,0.2809586194587557,0.24326239779960124,0.2541409430992447,0.25236667486029196
german,0.439089170672233,0.3114094200905166,0.35069517050524096,0.3038033625841873,0.32010106553797046,0.30542038447476894,0.31017353841130124
greek,0.9040062410448916,0.5397088382395264,0.574523438717149,0.3632589402795858,0.3508232077228117,0.3627381250550058,0.36699728328734904
hebrew,0.7702365309681999,0.6362266650527398,0.3908755160701835,0.4639878486359218,0.3534700816195955,0.38639582711546505,0.40954885353980264
icelandic,0.30813391353661784,0.26295358943292957,0.28928510285482845,0.26518122980477765,0.3207318193985872,0.3624601243342973,0.24843779902590662
russian,0.7642233773527273,0.390116672302789,0.37188223769588713,0.32306141952291284,0.26290797050489517,0.2963991081708307,0.29555521287460085
spanish,0.32955577262650504,0.29338798447589776,0.26511158847724925,0.2382349203702083,0.2776072903450361,0.2858418671224711,0.3558127859195179
swahili,0.38692009094325297,0.3056114563352516,0.24975657207956384,0.2756086786966914,0.3171783782783119,0.2990621815084169,0.2993903362090122
turkish,0.30024604239704106,0.3773697095153186,0.34152945510447685,0.2760320066582941,0.2587116607314139,0.29840697024196794,0.2566386089442408
