,1g,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,0.7777777777777778,0.8888888888888888,0.8,1.0,0.9
english,1.0,0.8571428571428571,0.6,1.0,0.8333333333333334,0.8333333333333334,1.0
french,1.0,0.8,1.0,1.0,1.0,1.0,1.0
finnish,0.8888888888888888,1.0,1.0,1.0,0.7142857142857143,1.0,0.75
german,1.0,1.0,1.0,0.8,1.0,0.8888888888888888,0.8888888888888888
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,0.9,1.0,1.0,1.0,1.0
icelandic,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
russian,1.0,1.0,1.0,0.8888888888888888,0.6666666666666666,0.8571428571428571,0.8571428571428571
spanish,1.0,1.0,0.8,1.0,0.875,1.0,1.0
swahili,1.0,0.875,1.0,1.0,1.0,0.9,1.0
turkish,0.8571428571428571,1.0,1.0,0.8571428571428571,0.6666666666666666,0.8,1.0
