,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.0,0.0,0.0,0.0,0.0,0.4,0.16666666666666666
french,0.5,0.25,0.0,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.0
finnish,0.6,0.42857142857142855,0.4,0.3333333333333333,0.6,0.6,0.5
german,0.6,0.125,0.2,0.2,0.2,1.0,0.5
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.6,0.6666666666666666,0.5,0.5,0.8,1.0,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,0.5714285714285714,0.25,0.5,0.5,0.6,1.0,0.5
swahili,1.0,0.5714285714285714,0.5,0.2857142857142857,0.5,0.5,0.7142857142857143
turkish,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666
