,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.21515189380810038,0.3299064998572653,0.2916666666666667,0.26488714114766937,0.27963491615722424,,0.2330686329267003
french,0.4487548301505281,0.37383358970942016,0.2703819104558768,0.27673739639428724,0.24623305745392665,0.2553963944285613,0.3555288891706796
finnish,0.5321923281335178,0.5560092997993961,0.5561400434137422,0.4362595932941582,0.41310411358475313,0.9393939393939394,0.8181818181818182
german,0.5255404884814106,0.4066689638009577,1.0,0.4267547829749464,0.365220004507626,0.9863013698630136,0.45133546692422
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,0.9513494621895513,1.0,1.0,1.0
icelandic,0.4217163326508746,0.6963106238227914,1.0,1.0,1.0,0.6674912392349772,0.8366600265340756
russian,1.0,1.0,1.0,1.0,0.9847070395926043,0.8839089931226619,0.9723306891116837
spanish,0.24304518939032918,0.38491559216949445,1.0,0.44932591922726955,0.47331382192576416,0.40642270977900874,0.9791666666666666
swahili,0.48948836350923824,0.34111147689699195,0.31347391590650286,0.30287744850024384,0.4916776273205993,0.4348939772313218,0.30319148936170215
turkish,0.32260354341266145,1.0,1.0,0.3928004879363247,0.4931969619160719,0.5007598795886088,0.4784513169075851
