,10
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,1.0
arabic-sk3gram,1.0
arabic-xsk2gram,1.0
arabic-xsk3gram,1.0
english-1gram,0.43618989688324045
english-2gram,0.0
english-3gram,0.0
english-sk2gram,0.0
english-sk3gram,0.0
english-xsk2gram,0.0
english-xsk3gram,0.0
french-1gram,0.0
french-2gram,0.0
french-3gram,0.26198464588448084
french-sk2gram,
french-sk3gram,0.0
french-xsk2gram,0.0
french-xsk3gram,0.0
finnish-1gram,0.28590545363069403
finnish-2gram,0.34476246383299863
finnish-3gram,0.4710083828194214
finnish-sk2gram,0.265799983917763
finnish-sk3gram,0.4216160121281111
finnish-xsk2gram,0.5182635853399378
finnish-xsk3gram,0.9499568220135498
german-1gram,0.3371753837240217
german-2gram,0.3730002689740009
german-3gram,0.35814370310557664
german-sk2gram,0.3137977165893159
german-sk3gram,0.25677655818150685
german-xsk2gram,0.38005251745244445
german-xsk3gram,0.26885849506101683
greek-1gram,1.0
greek-2gram,1.0
greek-3gram,1.0
greek-sk2gram,1.0
greek-sk3gram,1.0
greek-xsk2gram,1.0
greek-xsk3gram,1.0
hebrew-1gram,1.0
hebrew-2gram,1.0
hebrew-3gram,1.0
hebrew-sk2gram,1.0
hebrew-sk3gram,1.0
hebrew-xsk2gram,1.0
hebrew-xsk3gram,1.0
icelandic-1gram,0.2509358926497033
icelandic-2gram,0.400249353722648
icelandic-3gram,0.20560755867170766
icelandic-sk2gram,1.0
icelandic-sk3gram,0.48421852807213084
icelandic-xsk2gram,0.9150675055046709
icelandic-xsk3gram,1.0
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,0.9984049413613032
russian-sk2gram,1.0
russian-sk3gram,0.967035124700818
russian-xsk2gram,0.99085688910398
russian-xsk3gram,0.9812211032942287
spanish-1gram,0.28787067120355697
spanish-2gram,0.2638078082815698
spanish-3gram,0.1927779012650213
spanish-sk2gram,0.35626036259156785
spanish-sk3gram,1.0
spanish-xsk2gram,0.528115524971347
spanish-xsk3gram,0.5536406433432716
swahili-1gram,0.45639078086676305
swahili-2gram,0.4251352557266397
swahili-3gram,0.48299001505112593
swahili-sk2gram,0.3821980255780184
swahili-sk3gram,0.0
swahili-xsk2gram,0.3760861695308308
swahili-xsk3gram,0.5997905786390398
turkish-1gram,1.0
turkish-2gram,0.27201890252033056
turkish-3gram,0.46410161513775455
turkish-sk2gram,0.27845122086292995
turkish-sk3gram,1.0
turkish-xsk2gram,0.29359224803020034
turkish-xsk3gram,0.4794736614282655
