,1g,2g,3g,sk2g,sk3g
arabic,1.0,1.0,1.0,1.0,1.0
english,0.5590169943749475,0.18568464730290457,0.36,0.5590169943749475,0.3390720230857598
french,0.7909129169328468,0.6575959492214292,0.35043832202523123,0.41403933560541256,0.35243175906319807
finnish,0.5979926484934588,0.721754967117054,0.35867107489410777,0.4098348093613927,0.548788603217421
german,0.981643576691373,0.4375949744936836,0.42279313992973155,0.38628484512931943,0.44597403737640434
greek,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0
icelandic,0.668740304976422,1.0,1.0,0.6460985574022444,0.7061707549931134
russian,1.0,1.0,1.0,0.9686406993052359,0.9879400564711426
spanish,0.624770292751163,0.5983790078367693,1.0,0.5436901865014461,0.3265536821555513
swahili,0.730782799873114,0.40295617375330295,0.43606496393311345,0.7934950637626534,0.5627750532567428
turkish,0.7476743906106103,0.5565914282047156,0.7937005259840998,0.47829319387455443,1.0
