,2g,3g,sk2g,sk3g,xsk2g,xsk3g
arabic,1.0,1.0,1.0,1.0,1.0,0.9966385444980886
english,0.18568464730290457,0.36,0.5590169943749475,0.3390720230857598,0.5555555555555556,0.4051482310265586
french,0.6575959492214292,0.35043832202523123,0.41403933560541256,0.35243175906319807,,0.33903068533577463
finnish,0.721754967117054,0.35867107489410777,0.4098348093613927,0.548788603217421,0.5936971046259882,0.8028922635450271
german,0.4375949744936836,0.42279313992973155,0.38628484512931943,0.44597403737640434,0.5640103431768255,0.6933612743506347
greek,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,0.9397141628895238
icelandic,1.0,1.0,0.6460985574022444,0.7061707549931134,0.8956896153275697,1.0
russian,1.0,1.0,0.9686406993052359,0.9879400564711426,0.9505798249541407,0.8773066621237415
spanish,0.5983790078367693,1.0,0.5436901865014461,0.3265536821555513,1.0,0.6436595897370865
swahili,0.40295617375330295,0.43606496393311345,0.7934950637626534,0.5627750532567428,0.43299186411568424,0.4671700332179297
turkish,0.5565914282047156,0.7937005259840998,0.47829319387455443,1.0,0.7401984876227414,0.7688809598286291
