,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,0.9979756752872078,0.9963831146354838,1.0,0.9671682101338347
english,0.5138809408298456,0.39001656977290805,0.45774328939322967,,0.5266886171309061,0.46775381162299473,0.4547543449491903
french,0.5121868765091675,0.42817204320513924,0.32331352081012904,0.19848053181386516,0.4616226053440471,0.48475933793160814,0.42432506350714283
finnish,0.6371638827443371,0.5430450802499489,0.5117977585135142,0.5625,0.4958326510085198,0.47669701434101386,0.5970510841851403
german,0.5783879421147833,0.37825705434111345,0.4973325692932774,1.0,0.4311874277628713,0.709491705985192,0.5803810000880093
greek,1.0,1.0,1.0,1.0,1.0,1.0,0.9984916975062095
hebrew,1.0,1.0,1.0,0.9346552651840672,1.0,1.0,1.0
icelandic,0.6234382843400972,0.4799193298501337,0.6655341628551983,0.5363956373054126,0.7978779741181006,0.6580460561009643,0.887034338148439
russian,1.0,1.0,1.0,1.0,0.993670377332229,0.942942047540283,0.9157697991753208
turkish,0.8622927454414945,0.5275941624541428,0.5111003634534563,,0.7542649537555957,0.9688088745717113,0.6880930855635149
