,13
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,1.0
arabic-sk3gram,1.0
arabic-xsk2gram,1.0
arabic-xsk3gram,0.9976358985723237
english-1gram,0.0
english-2gram,0.0
english-3gram,0.3627232468939328
english-sk2gram,0.0
english-sk3gram,0.0
english-xsk2gram,0.0
english-xsk3gram,0.29644331416883374
french-1gram,0.23030679204111446
french-2gram,0.0
french-3gram,0.4609850100203756
french-sk2gram,0.41415522246305586
french-sk3gram,0.0
french-xsk2gram,0.0
french-xsk3gram,0.0
finnish-1gram,0.0
finnish-2gram,0.624317482189057
finnish-3gram,0.394210586940485
finnish-sk2gram,0.59998060564261
finnish-sk3gram,0.3310945542927032
finnish-xsk2gram,0.6461374844307185
finnish-xsk3gram,0.4439799248676601
german-1gram,0.0
german-2gram,0.31135355883554433
german-3gram,0.3134330159767375
german-sk2gram,0.5217803813052
german-sk3gram,0.5278640450004206
german-xsk2gram,0.47007669491344095
german-xsk3gram,0.4873774082224584
greek-1gram,1.0
greek-2gram,1.0
greek-3gram,1.0
greek-sk2gram,1.0
greek-sk3gram,0.9854991203566041
greek-xsk2gram,1.0
greek-xsk3gram,0.9174488099408218
hebrew-1gram,1.0
hebrew-2gram,1.0
hebrew-3gram,1.0
hebrew-sk2gram,1.0
hebrew-sk3gram,1.0
hebrew-xsk2gram,0.9790601923132268
hebrew-xsk3gram,1.0
icelandic-1gram,0.3169238810884666
icelandic-2gram,0.38419170590116103
icelandic-3gram,0.4909609022184806
icelandic-sk2gram,0.5938012603034957
icelandic-sk3gram,0.9416342412451362
icelandic-xsk2gram,0.5933720298588023
icelandic-xsk3gram,0.3750672316442283
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,0.993051644413033
russian-sk3gram,0.9987515553604221
russian-xsk2gram,0.9188267203231771
russian-xsk3gram,1.0
turkish-1gram,0.4698214632029305
turkish-2gram,0.5326241793947295
turkish-3gram,0.5497416531172926
turkish-sk2gram,0.5166852264521172
turkish-sk3gram,0.533939444035328
turkish-xsk2gram,0.5242504598194958
turkish-xsk3gram,1.0
