,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.25
french,0.16666666666666666,0.0,0.5,0.5,0.0,0.0,0.0
finnish,0.0,0.75,0.3333333333333333,0.75,0.2857142857142857,0.75,0.5
german,0.0,0.25,0.25,0.5,0.5,0.5,0.5
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.25,0.3333333333333333,0.5,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
turkish,0.5,0.5,0.5,0.5,0.5,0.5,1.0
