,9
arabic-1gram,1.0
arabic-2gram,1.0
arabic-3gram,1.0
arabic-sk2gram,0.9984496124031007
arabic-sk3gram,1.0
english-1gram,0.5884911264524029
english-2gram,0.7311827956989247
english-3gram,0.49885931558935365
english-sk2gram,
english-sk3gram,0.5109717868338558
french-1gram,
french-2gram,0.5173745173745173
french-3gram,
french-sk2gram,0.761904761904762
french-sk3gram,
german-1gram,0.5066445253924444
german-2gram,0.0
german-3gram,
german-sk2gram,0.510236220472441
german-sk3gram,
russian-1gram,1.0
russian-2gram,1.0
russian-3gram,1.0
russian-sk2gram,1.0
russian-sk3gram,1.0
