,3
arabic-1g,1.0
arabic-2g,1.0
arabic-3g,1.0
arabic-sk2g,0.9734713618395096
arabic-sk3g,0.984702811327364
english-1g,0.942106170335977
english-2g,0.7464773477318697
english-3g,0.8627545029450595
english-sk2g,0.8266615920358937
english-sk3g,0.8016562369004849
french-1g,1.0
french-2g,0.8033872662738941
french-3g,0.6993153896908848
french-sk2g,0.762017104490488
french-sk3g,0.756152191245225
german-1g,0.9772630402537619
german-2g,0.8956183249342025
german-3g,0.8153466646972537
german-sk2g,0.8027459882683932
german-sk3g,0.8130712878067086
russian-1g,1.0
russian-2g,1.0
russian-3g,1.0
russian-sk2g,1.0
russian-sk3g,1.0
n_topics_real,17.0
purity_threshold,0.37040911034085894
